name|price|image
쿠팡플레이|7890원|coupangplay.png
넷플릭스|5500원|netflix.png
디즈니+|9900원|disneyplus.png
웨이브|7900원|wavve.png
왓챠|7900원|watcha.png
티빙|5500원|tving.png
u+모바일tv|5500원|uplus.png
